cust_name,id,review_date,review_title,review_description,range_used,review_score
Ouioui,0,2023-02-20,Tres bon article,Merci Decathlon,Utilise ce produit depuis 2 à 8 semaines,5
Khalid,1,2023-04-01,Le prix,399dh c'est le juste prix. Pas moyen que quelqu'un l'achète pour plus que ça.,Utilise ce produit depuis 2 à 8 semaines,3
Mohamed,2,2022-12-12,beatiful product,very useful product with good quality i advice you to buy it ♥️❤️,Utilise ce produit depuis 1 semaine ou moins,5
Hatim,4,2022-01-12,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Abdelaziz,5,2022-11-18,tres bon article,tres bon article,Utilise ce produit depuis 1 semaine ou moins,5
Brahim,6,2022-11-18,Lahrach,Bon Qualité,Utilise ce produit depuis 2 à 8 semaines,3
Adam,7,2022-09-11,ok,ok,Utilise ce produit depuis 1 semaine ou moins,5
Zakariae,8,2022-01-10,Wonderful,It's soooo good comparing to it price,Utilise ce produit depuis 2 à 8 semaines,5
Yassir,9,2022-09-24,Gg,👍,Utilise ce produit depuis 2 à 8 semaines,5
Raymond -,10,2023-05-25,"Excellent matériel, je le…","Excellent matériel, je le recommande vivement.",Utilise ce produit depuis 2 à 8 semaines,5
Anne-Laure,11,2023-05-23,Bon pack,"Bon pack, très pratique et polyvalent. Seul problème il manque des petits poids de 0,5kg",Utilise ce produit depuis 3 à 6 mois,4
Laurie,12,2023-05-22,Très bon rapport qualité/prix pour ce produit !,Très bon rapport qualité/prix pour ce produit ! Je suis ravie d'avoir investi et je le recommande à tout débutant en musculation !,Utilise ce produit depuis 2 à 8 semaines,5
HUBERT,13,2023-05-17,TVB RAS,TVB RAS,Utilise ce produit depuis 1 semaine ou moins,5
Bruno,14,2023-05-15,"Mallette complète, bon rapport…","Mallette complète, bon rapport qualité prix",Utilise ce produit depuis 1 semaine ou moins,5
Dolores,15,2023-05-14,Bien,Bien,Utilise ce produit depuis 7 à 12 mois,5
Vincent,16,2023-05-14,Malette très pratique et…,"Malette très pratique et modulable 
Tout est parfait",Utilise ce produit depuis 3 à 6 mois,5
Amelie,17,2023-05-13,Il manque des poids…,Il manque des poids de 500g je trouve,Utilise ce produit depuis 2 à 8 semaines,4
Estelle,18,2023-05-13,Convient  mes attentes,Convient  mes attentes,Utilise ce produit depuis 3 à 6 mois,5
Audrey,19,2023-11-05,Fait le job,"La prise en main est bonne.
Possibilité de faire des poids de 4,6,8 et 10kg
Je vais me racheter des poids des 0,5kg et 5kg pour avoir un meilleur panel.

Penser à bien serrer les vices fort sinon elles peuvent se desserrer",Utilise ce produit depuis 2 à 8 semaines,4
Christophe,20,2023-09-05,Super,Super,Utilise ce produit depuis 7 à 12 mois,5
Yannick,21,2023-05-05,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,4
